,date,open,high,low,close,volume,tic
158,2020.09.07,1.3181200000000002,1.31813,1.31779,1.3180100000000001,54,GBPUSD
159,2020.09.07,1.3180100000000001,1.3180100000000001,1.31769,1.31792,42,GBPUSD
160,2020.09.07,1.31792,1.31803,1.31775,1.31782,35,GBPUSD
161,2020.09.07,1.31782,1.31861,1.31782,1.31853,36,GBPUSD
162,2020.09.07,1.31853,1.31853,1.31796,1.31796,36,GBPUSD
163,2020.09.07,1.31796,1.31808,1.3178299999999998,1.3178299999999998,28,GBPUSD
164,2020.09.07,1.31777,1.3181100000000001,1.31769,1.31805,47,GBPUSD
165,2020.09.07,1.31805,1.3181,1.3179299999999998,1.31794,32,GBPUSD
166,2020.09.07,1.3179299999999998,1.3179299999999998,1.3176700000000001,1.31779,43,GBPUSD
167,2020.09.07,1.31779,1.31841,1.31775,1.3183799999999999,66,GBPUSD
168,2020.09.07,1.3183799999999999,1.3184,1.31776,1.31808,42,GBPUSD
169,2020.09.07,1.31808,1.3182,1.31786,1.3182,36,GBPUSD
170,2020.09.07,1.3182,1.31835,1.31777,1.31831,56,GBPUSD
171,2020.09.07,1.3183,1.31831,1.31798,1.31828,47,GBPUSD
172,2020.09.07,1.31834,1.31849,1.31834,1.3184799999999999,51,GBPUSD
173,2020.09.07,1.3184799999999999,1.31882,1.3184200000000001,1.31882,56,GBPUSD
174,2020.09.07,1.31882,1.3189,1.31875,1.3189,35,GBPUSD
175,2020.09.07,1.3189,1.31891,1.3187,1.3188,54,GBPUSD
176,2020.09.07,1.3188,1.3190899999999999,1.3188,1.319,44,GBPUSD
177,2020.09.07,1.319,1.31915,1.319,1.31902,44,GBPUSD
178,2020.09.07,1.31902,1.3195299999999999,1.31902,1.31941,54,GBPUSD
179,2020.09.07,1.3193,1.3193,1.31911,1.31913,33,GBPUSD
180,2020.09.07,1.31913,1.31929,1.31901,1.31929,56,GBPUSD
181,2020.09.07,1.31929,1.31954,1.31928,1.31954,31,GBPUSD
182,2020.09.07,1.31954,1.3196,1.3191899999999999,1.3191899999999999,28,GBPUSD
183,2020.09.07,1.31912,1.31915,1.3188600000000001,1.31891,52,GBPUSD
184,2020.09.07,1.31891,1.31911,1.31891,1.3189799999999998,37,GBPUSD
185,2020.09.07,1.3189799999999998,1.31911,1.3188799999999998,1.3189600000000001,40,GBPUSD
186,2020.09.07,1.31894,1.31894,1.31866,1.31874,39,GBPUSD
187,2020.09.07,1.31874,1.31877,1.31859,1.31866,38,GBPUSD
188,2020.09.07,1.31866,1.31891,1.31849,1.31883,42,GBPUSD
189,2020.09.07,1.31883,1.3188600000000001,1.31861,1.3186799999999999,44,GBPUSD
190,2020.09.07,1.3186799999999999,1.3192,1.31855,1.3191700000000002,47,GBPUSD
191,2020.09.07,1.3191700000000002,1.31944,1.31913,1.31918,32,GBPUSD
192,2020.09.07,1.3192,1.3192700000000002,1.31841,1.31841,56,GBPUSD
193,2020.09.07,1.31841,1.31854,1.31839,1.3184799999999999,37,GBPUSD
194,2020.09.07,1.31849,1.31863,1.3184,1.3185,24,GBPUSD
195,2020.09.07,1.3185,1.31861,1.31845,1.3185,42,GBPUSD
196,2020.09.07,1.31853,1.31853,1.31837,1.3185,22,GBPUSD
197,2020.09.07,1.3185,1.31857,1.31841,1.31849,21,GBPUSD
198,2020.09.07,1.31849,1.31854,1.3184200000000001,1.31844,33,GBPUSD
199,2020.09.07,1.31844,1.31861,1.31837,1.31855,44,GBPUSD
200,2020.09.07,1.31855,1.31875,1.31844,1.31845,41,GBPUSD
201,2020.09.07,1.31845,1.31854,1.31837,1.3184799999999999,24,GBPUSD
202,2020.09.07,1.3184799999999999,1.3184799999999999,1.31802,1.31807,42,GBPUSD
203,2020.09.07,1.3180399999999999,1.3180399999999999,1.3173,1.31748,96,GBPUSD
204,2020.09.07,1.31748,1.31754,1.31725,1.3173700000000002,46,GBPUSD
205,2020.09.07,1.3173700000000002,1.31754,1.31718,1.31724,36,GBPUSD
206,2020.09.07,1.31733,1.31733,1.31708,1.31708,58,GBPUSD
207,2020.09.07,1.31708,1.31718,1.3164,1.31676,54,GBPUSD
208,2020.09.07,1.31676,1.31676,1.3163799999999999,1.31646,33,GBPUSD
209,2020.09.07,1.3164799999999999,1.3164799999999999,1.31625,1.31626,27,GBPUSD
210,2020.09.07,1.31626,1.31636,1.31571,1.31577,43,GBPUSD
211,2020.09.07,1.31577,1.31609,1.31571,1.31571,45,GBPUSD
212,2020.09.07,1.31571,1.31587,1.31564,1.3158100000000001,27,GBPUSD
213,2020.09.07,1.3158100000000001,1.31615,1.3158100000000001,1.31586,37,GBPUSD
214,2020.09.07,1.31586,1.31589,1.31576,1.31576,15,GBPUSD
215,2020.09.07,1.31576,1.31576,1.3153299999999999,1.31536,30,GBPUSD
216,2020.09.07,1.3154299999999999,1.31566,1.31536,1.31566,37,GBPUSD
217,2020.09.07,1.31566,1.31606,1.31566,1.31606,17,GBPUSD
218,2020.09.07,1.31606,1.31606,1.31566,1.31569,22,GBPUSD
219,2020.09.07,1.31569,1.3157,1.3154299999999999,1.3154299999999999,34,GBPUSD
220,2020.09.07,1.3154299999999999,1.3155,1.3151700000000002,1.3151899999999999,46,GBPUSD
221,2020.09.07,1.3151899999999999,1.31528,1.3149899999999999,1.3150600000000001,32,GBPUSD
222,2020.09.07,1.3150600000000001,1.3154299999999999,1.3150600000000001,1.31521,41,GBPUSD
223,2020.09.07,1.31521,1.3152700000000002,1.31495,1.31497,28,GBPUSD
224,2020.09.07,1.31497,1.31498,1.31466,1.31487,38,GBPUSD
225,2020.09.07,1.31487,1.31487,1.31464,1.3146799999999998,41,GBPUSD
226,2020.09.07,1.3146799999999998,1.31495,1.3143799999999999,1.31479,56,GBPUSD
227,2020.09.07,1.31479,1.31479,1.31443,1.31463,46,GBPUSD
228,2020.09.07,1.31463,1.31475,1.31453,1.3146,41,GBPUSD
229,2020.09.07,1.3146,1.31498,1.3146,1.31497,40,GBPUSD
230,2020.09.07,1.31493,1.31529,1.3148799999999998,1.31521,44,GBPUSD
231,2020.09.07,1.31522,1.31536,1.31503,1.31515,44,GBPUSD
232,2020.09.07,1.31515,1.31535,1.3150700000000002,1.3150899999999999,52,GBPUSD
233,2020.09.07,1.3150899999999999,1.31513,1.31479,1.31479,30,GBPUSD
234,2020.09.07,1.31479,1.31501,1.31471,1.31493,19,GBPUSD
235,2020.09.07,1.31494,1.31534,1.31494,1.31534,31,GBPUSD
236,2020.09.07,1.31534,1.31556,1.3153299999999999,1.31548,39,GBPUSD
237,2020.09.07,1.31548,1.3156700000000001,1.31548,1.31564,54,GBPUSD
238,2020.09.07,1.31564,1.31571,1.31529,1.31536,54,GBPUSD
239,2020.09.07,1.31536,1.3156299999999999,1.31532,1.3154299999999999,27,GBPUSD
240,2020.09.07,1.3154299999999999,1.3155,1.31535,1.31542,24,GBPUSD
241,2020.09.07,1.31542,1.31548,1.31483,1.31504,51,GBPUSD
242,2020.09.07,1.31504,1.31504,1.31493,1.31494,24,GBPUSD
243,2020.09.07,1.31494,1.315,1.31484,1.31485,38,GBPUSD
244,2020.09.07,1.31485,1.31493,1.31471,1.3148799999999998,36,GBPUSD
245,2020.09.07,1.3148799999999998,1.315,1.31479,1.31491,33,GBPUSD
246,2020.09.07,1.31491,1.31497,1.3147799999999998,1.3149,24,GBPUSD
247,2020.09.07,1.3149,1.31498,1.31484,1.31489,35,GBPUSD
248,2020.09.07,1.31489,1.31516,1.31489,1.31505,33,GBPUSD
249,2020.09.07,1.31505,1.31515,1.31503,1.31508,26,GBPUSD
250,2020.09.07,1.31508,1.31525,1.31491,1.31516,36,GBPUSD
