,q_values,state,action
129,[[0.93106157 0.9089485  0.88285583]],"[ 0.08331896 -0.13618779 -0.40666483 -0.95847751  0.00153196  0.
  1.          0.        ]",[1. 0. 0.]
130,[[0.93260336 0.9110207  0.87251174]],"[ 0.19247098  0.00425482 -0.91558006 -0.93079585  0.00160011  0.
  1.          0.        ]",[1. 0. 0.]
131,[[0.95263344 0.9512404  0.89748687]],"[ 0.38815929  0.16496318 -0.47175974 -0.94463668  0.00174394  0.
  1.          0.        ]",[1. 0. 0.]
132,[[1.0370029 1.0502672 1.0056915]],"[ 0.46739018  0.29280508 -0.2547174  -0.92387543  0.00181206  0.
  1.          0.        ]",[0. 1. 0.]
133,[[1.1192133 1.1107813 1.1119394]],"[ 0.51778818  0.27691771 -0.2547174  -0.95847751  0.00185747  0.
  1.          0.        ]",[1. 0. 0.]
134,[[1.1350373 1.1268628 1.1229995]],"[ 0.55909566  0.31308302 -0.13334396 -0.97923875  0.0018953   0.
  1.          0.        ]",[1. 0. 0.]
135,[[1.1724354 1.1606575 1.1696497]],"[ 0.58403136  0.28789871 -0.09269014 -0.96539792  0.001918    0.
  1.          0.        ]",[1. 0. 0.]
136,[[1.1641923 1.1511254 1.1584162]],"[ 0.56948781  0.29200455  0.1099269  -0.95155709  0.00191044  0.
  1.          0.        ]",[1. 0. 0.]
137,[[1.157782  1.1503485 1.1600363]],"[ 0.61450512  0.27703657  0.1099269  -0.97923875  0.          1.
  0.          0.        ]",[0. 0. 1.]
138,[[1.2380334 1.2510285 0.9672741]],"[ 0.62365158  0.26493564  0.2155585  -0.97231834  0.00190277  0.
  1.          0.        ]",[0. 1. 0.]
139,[[1.1666732 1.161848  1.166921 ]],"[ 0.46516052  0.2048998  -0.38195176 -0.82698962  0.          1.
  0.          0.        ]",[0. 0. 1.]
140,[[1.1510091 1.1217676 0.9460153]],"[ 0.47618683  0.14387596 -0.63544012 -0.81314879  0.          1.
  0.          0.        ]",[1. 0. 0.]
141,[[1.1319692  1.0957596  0.96204525]],"[ 0.57225866  0.19179913 -0.38743627 -0.84083045  0.          1.
  0.          0.        ]",[1. 0. 0.]
142,[[1.1697187 1.1564118 0.9706752]],"[ 0.62176022  0.25278345 -0.20322117 -0.95155709  0.          1.
  0.          0.        ]",[1. 0. 0.]
143,[[1.2282511 1.2284982 0.9891833]],"[ 0.720762    0.38543162  0.06328767 -0.90311419  0.00197834  0.
  1.          0.        ]",[0. 1. 0.]
144,[[1.240937  1.1946782 1.2611682]],"[ 0.66709916  0.4028997   0.06328767 -0.93079585  0.          1.
  0.          0.        ]",[0. 0. 1.]
145,[[1.2775397  1.3280964  0.95390785]],"[ 0.68588844  0.36641767  0.06328767 -0.95155709  0.00191013  0.
  1.          0.        ]",[0. 1. 0.]
146,[[1.2324936 1.199311  1.2468026]],"[ 0.68588844  0.3153443   0.06328767 -0.98615917  0.          1.
  0.          0.        ]",[0. 0. 1.]
147,[[1.2687111  1.3021091  0.98321664]],"[ 0.62401826  0.24656227 -0.11119991 -0.98615917  0.00187228  0.
  1.          0.        ]",[0. 1. 0.]
148,[[1.1612673 1.1498712 1.1465343]],"[ 0.60290172  0.1727996  -0.58698112 -0.95155709  0.00186471  0.
  1.          0.        ]",[1. 0. 0.]
149,[[1.1146164 1.0931783 1.084264 ]],"[ 0.60290172  0.12285406 -0.73072964 -0.95155709  0.00186471  0.
  1.          0.        ]",[1. 0. 0.]
